num_roots,num_fine_roots,num_patents,total_citation,avg_citation
2,6,19,147,7.7368421052631575
4,4,13,164,12.615384615384615
3,4,15,177,11.8
4,5,13,102,7.846153846153846
2,5,13,263,20.23076923076923
1,1,3,34,11.333333333333334
5,11,60,721,12.016666666666667
3,5,6,77,12.833333333333334
2,4,22,200,9.090909090909092
1,3,24,1242,51.75
4,4,6,32,5.333333333333333
1,1,5,6,1.2
2,5,11,113,10.272727272727273
4,8,36,1802,50.05555555555556
4,4,20,459,22.95
1,2,3,9,3.0
1,1,12,263,21.916666666666668
2,2,17,51,3.0
3,5,9,22,2.4444444444444446
1,1,2,25,12.5
1,2,15,344,22.933333333333334
4,11,101,1568,15.524752475247524
3,3,20,1237,61.85
3,6,18,145,8.055555555555555
6,24,2929,40766,13.918060771594401
2,4,28,877,31.321428571428573
4,6,7,88,12.571428571428571
3,3,9,383,42.55555555555556
5,17,160,1541,9.63125
2,2,13,275,21.153846153846153
4,9,34,331,9.735294117647058
2,2,4,17,4.25
2,4,9,88,9.777777777777779
3,5,28,1590,56.785714285714285
1,1,6,30,5.0
4,8,29,267,9.206896551724139
2,4,12,1055,87.91666666666667
2,3,9,135,15.0
1,2,6,40,6.666666666666667
5,12,173,2763,15.971098265895954
4,9,96,841,8.760416666666666
4,8,51,2313,45.35294117647059
2,4,162,2081,12.845679012345679
2,4,12,82,6.833333333333333
4,6,21,121,5.761904761904762
4,5,6,33,5.5
1,1,3,4,1.3333333333333333
1,1,1,6,6.0
5,19,129,2582,20.015503875968992
3,4,13,175,13.461538461538462
4,7,16,136,8.5
1,1,1,28,28.0
6,14,33,784,23.757575757575758
1,1,9,96,10.666666666666666
2,2,4,14,3.5
2,2,12,65,5.416666666666667
1,2,11,276,25.09090909090909
2,5,13,85,6.538461538461538
5,8,17,145,8.529411764705882
1,1,1,6,6.0
1,2,5,121,24.2
5,7,20,514,25.7
3,4,20,353,17.65
4,9,27,192,7.111111111111111
2,2,2,3,1.5
1,2,12,238,19.833333333333332
2,3,10,69,6.9
5,7,16,274,17.125
3,4,19,181,9.526315789473685
2,3,10,330,33.0
3,4,19,163,8.578947368421053
2,4,6,469,78.16666666666667
6,11,42,1696,40.38095238095238
3,4,23,240,10.434782608695652
2,4,28,427,15.25
4,6,13,157,12.076923076923077
3,8,37,361,9.756756756756756
2,2,13,214,16.46153846153846
3,4,41,1643,40.073170731707314
2,5,10,91,9.1
3,5,24,271,11.291666666666666
2,5,16,123,7.6875
6,21,146,1628,11.150684931506849
6,18,420,5186,12.347619047619048
1,2,5,9,1.8
5,14,32,132,4.125
4,5,14,128,9.142857142857142
2,2,7,21,3.0
4,5,8,45,5.625
3,5,8,63,7.875
3,5,18,197,10.944444444444445
3,8,34,367,10.794117647058824
5,13,130,2370,18.23076923076923
6,27,287,3053,10.637630662020905
2,4,9,106,11.777777777777779
5,16,640,21019,32.8421875
1,3,5,21,4.2
4,11,110,1411,12.827272727272728
5,9,84,942,11.214285714285714
1,2,2,8,4.0
3,7,21,133,6.333333333333333
1,1,1,1,1.0
1,1,2,6,3.0
3,5,25,1706,68.24
2,2,10,364,36.4
3,5,11,88,8.0
1,1,4,8,2.0
4,7,13,62,4.769230769230769
2,5,13,75,5.769230769230769
2,2,5,29,5.8
4,8,21,118,5.619047619047619
2,3,10,1227,122.7
1,3,10,171,17.1
1,2,13,249,19.153846153846153
2,3,10,35,3.5
4,5,18,1244,69.11111111111111
4,12,64,841,13.140625
1,1,5,9,1.8
3,4,10,491,49.1
4,5,5,320,64.0
2,2,15,68,4.533333333333333
4,5,32,222,6.9375
3,6,9,77,8.555555555555555
2,3,26,3871,148.8846153846154
2,7,416,12825,30.829326923076923
3,8,14,927,66.21428571428571
1,4,18,952,52.888888888888886
4,10,89,890,10.0
3,5,6,44,7.333333333333333
3,5,21,60,2.857142857142857
2,2,8,173,21.625
5,10,18,271,15.055555555555555
2,2,3,29,9.666666666666666
4,9,45,2204,48.977777777777774
2,4,8,198,24.75
2,2,2,2,1.0
7,35,6518,73847,11.329702362687941
2,3,14,107,7.642857142857143
4,6,131,6334,48.35114503816794
2,3,11,183,16.636363636363637
1,1,13,149,11.461538461538462
