,inventor,related,hops,sim
251,fl:a_ln:pance-2,fl:p_ln:coffman-7,2,0.5652203755127586
255,fl:a_ln:pance-2,fl:j_ln:titi-1,2,0.5987210865025244
257,fl:a_ln:pance-2,fl:s_ln:lemay-1,2,0.5120903467442364
263,fl:a_ln:pance-2,fl:c_ln:federighi-1,2,0.34566550272157015
279,fl:a_ln:pance-2,fl:s_ln:gettemy-1,3,0.5659605432553687
286,fl:a_ln:pance-2,fl:s_ln:lynch-9,2,0.4716090943144733
287,fl:a_ln:pance-2,fl:s_ln:zadesky-2,3,0.44481333741564666
315,fl:a_ln:pance-2,fl:c_ln:clanton-1,3,0.49875305117633983
544,fl:a_ln:pance-2,fl:j_ln:shieh-17,3,0.44481043019020894
546,fl:a_ln:pance-2,fl:t_ln:parks-2,3,0.42068596783194245
610,fl:a_ln:pance-2,fl:r_ln:cutler-11,3,0.37224193331374467
624,fl:a_ln:pance-2,fl:l_ln:vertelney-1,3,0.5770486143762152
638,fl:a_ln:pance-2,fl:g_ln:marriott-2,3,0.5128511358576717
639,fl:a_ln:pance-2,fl:g_ln:bar-nahum-1,3,0.497447031655054
697,fl:a_ln:pance-2,fl:d_ln:mathew-8,2,0.461058490580609
706,fl:a_ln:pance-2,fl:v_ln:yin-3,3,0.6446210915122201
708,fl:a_ln:pance-2,fl:j_ln:qi-20,3,0.6571338648181323
722,fl:a_ln:pance-2,fl:p_ln:drzaic-1,3,0.4912727636191372
775,fl:a_ln:pance-2,fl:m_ln:miller-119,3,0.7103959412158799
778,fl:a_ln:pance-2,fl:c_ln:bronstein-1,3,0.7001759765260959
801,fl:a_ln:pance-2,fl:c_ln:prest-3,3,0.43983619078024283
821,fl:a_ln:pance-2,fl:j_ln:filson-2,3,0.4221887946410091
853,fl:a_ln:pance-2,fl:f_ln:rothkopf-2,3,0.4861470222423281
891,fl:a_ln:pance-2,fl:d_ln:aurongzeb-2,3,0.41448216660693926
898,fl:a_ln:pance-2,fl:w_ln:park-127,3,0.5366894032076143
912,fl:a_ln:pance-2,fl:h_ln:bae-144,3,0.6023719299579604
939,fl:a_ln:pance-2,fl:s_ln:suzuki-234,3,0.5273858532831576
979,fl:a_ln:pance-2,fl:r_ln:cok-1,3,0.7441571261741805
998,fl:a_ln:pance-2,fl:r_ln:townsend-5,3,0.5407524359670322
999,fl:a_ln:pance-2,fl:b_ln:scott-32,3,0.5350868963827239
1031,fl:a_ln:pance-2,fl:f_ln:canova-2,3,0.6238915439663666
1039,fl:a_ln:pance-2,fl:a_ln:hodge-6,3,0.466699110111368
1095,fl:a_ln:pance-2,fl:a_ln:lindahl-8,2,0.7110455188291432
1264,fl:a_ln:pance-2,fl:b_ln:belmont-2,3,0.38235779091185296
1331,fl:a_ln:pance-2,fl:s_ln:myers-11,3,0.5044535220887932
1348,fl:a_ln:pance-2,fl:c_ln:chen-1472,3,0.6479053418269858
1351,fl:a_ln:pance-2,fl:s_ln:wang-201,3,0.5071079782172074
1383,fl:a_ln:pance-2,fl:j_ln:ternus-3,3,0.49110475098596074
1384,fl:a_ln:pance-2,fl:b_ln:rappoport-1,3,0.5150159716469126
1451,fl:a_ln:pance-2,fl:b_ln:corlett-1,3,0.6573661235163605
1545,fl:a_ln:pance-2,fl:j_ln:wang-786,3,0.5466355513106986
1571,fl:a_ln:pance-2,fl:l_ln:keely-4,3,0.5256804879991194
1587,fl:a_ln:pance-2,fl:k_ln:silverbrook-2,3,0.45833138258455963
1628,fl:a_ln:pance-2,fl:a_ln:blake-10,3,0.34513991611504624
1712,fl:a_ln:pance-2,fl:j_ln:baek-93,3,0.5441088631651617
1713,fl:a_ln:pance-2,fl:e_ln:sung-6,3,0.5277651391667041
1726,fl:a_ln:pance-2,fl:a_ln:fuller-17,3,0.47438673047106783
1729,fl:a_ln:pance-2,fl:r_ln:haitani-2,3,0.6904536778284406
1739,fl:a_ln:pance-2,fl:j_ln:griffin-60,3,0.5795234230253885
1750,fl:a_ln:pance-2,fl:s_ln:yamazaki-100,3,0.5263798328132796
1795,fl:a_ln:pance-2,fl:m_ln:mcdonald-8,3,0.42589701153483417
1846,fl:a_ln:pance-2,fl:t_ln:yamaguchi-100,3,0.5279721911448331
1963,fl:a_ln:pance-2,fl:h_ln:gonzalez-banos-1,3,0.5226454417901542
1964,fl:a_ln:pance-2,fl:m_ln:alboszta-1,3,0.5276599517420039
1965,fl:a_ln:pance-2,fl:m_ln:mandella-1,3,0.5329594582900059
2048,fl:a_ln:pance-2,fl:d_ln:novotney-1,3,0.6871965275686405
2055,fl:a_ln:pance-2,fl:b_ln:aguera y arcas-2,3,0.5969886474650938
2262,fl:a_ln:pance-2,fl:s_ln:horodezky-1,3,0.4988397798714752
2285,fl:a_ln:pance-2,fl:s_ln:ahn-34,3,0.42389483024511265
2312,fl:a_ln:pance-2,fl:m_ln:gagner-3,3,0.4998192849350205
2365,fl:a_ln:pance-2,fl:j_ln:cohen-39,3,0.42093113730319054
2427,fl:a_ln:pance-2,fl:r_ln:eggers-2,3,0.48543063388130614
2500,fl:a_ln:pance-2,fl:r_ln:panabaker-1,3,0.6812519283580573
2514,fl:a_ln:pance-2,fl:j_ln:koyama-9,3,0.5062482995947915
2633,fl:a_ln:pance-2,fl:d_ln:young-86,3,0.41514439913546686
2641,fl:a_ln:pance-2,fl:y_ln:lee-918,3,0.5976998063648493
2656,fl:a_ln:pance-2,fl:j_ln:xiao-80,3,0.5117323633949632
2663,fl:a_ln:pance-2,fl:d_ln:demandolx-1,3,0.5867817243830077
2668,fl:a_ln:pance-2,fl:a_ln:michail-1,3,0.5478350035216788
2683,fl:a_ln:pance-2,fl:d_ln:nam-38,3,0.4260508843004621
2692,fl:a_ln:pance-2,fl:k_ln:dempski-1,3,0.5149469960163263
2715,fl:a_ln:pance-2,fl:e_ln:bayer-7,3,0.6225934239548729
