from,to
3600,1228
4424,1228
4424,3600
3584,631
4312,4300
4312,1405
4312,2348
4312,3600
4784,48
5195,4784
4807,4784
5195,48
4807,48
5195,4807
5502,3065
3579,3065
3065,1029
3579,1029
5502,1029
5502,3579
4424,393
3996,1280
1280,899
5040,1280
5040,3996
5040,899
3996,899
2389,1345
2657,2389
2940,2389
2657,1345
2940,1345
2940,2657
3257,1217
1306,188
3617,188
5311,188
495,188
3517,188
2817,188
2764,188
5311,3517
3517,2817
3517,1306
3617,3517
3517,495
3517,2764
5311,2764
5311,2817
5311,3617
5311,1306
5311,495
2817,495
2817,2764
3617,2817
2817,1306
2764,1306
3617,2764
2764,495
1306,495
3617,495
3617,1306
4383,2483
3600,2483
3257,2483
4383,3600
4383,3257
1792,436
2528,436
2603,436
3680,436
2603,2528
3680,2528
2528,1792
2603,1792
3680,2603
3680,1792
3257,934
1776,934
3177,401
543,259
3065,259
1405,259
3600,259
5523,259
4486,259
4486,1405
5523,1405
3065,1405
1405,543
5523,3065
3065,543
4486,3065
3600,3065
5523,3600
3600,543
4486,3600
4486,543
5523,4486
5523,543
5130,1273
3257,1273
2483,1273
4253,1273
5130,2483
5130,3257
5130,4253
4253,2483
4253,3257
5061,130
5061,2311
2311,130
3112,312
5277,312
4125,1450
5193,4125
4125,3878
4870,4125
4561,4125
4870,3878
5193,3878
3878,1537
3878,1450
5193,1537
4561,1537
4870,1537
1537,1450
5193,3512
3512,1450
4870,3512
5193,1450
5193,4561
5193,4870
4870,4561
4561,1450
4870,1450
4056,3112
1274,622
1274,508
1274,526
2148,1274
3938,1274
2148,622
2148,508
2148,526
3938,2148
622,526
622,508
3938,622
526,508
3938,508
3938,526
4003,966
4175,4003
4003,2688
4175,966
4175,2688
2688,966
5308,3783
5354,835
835,475
5354,475
1071,923
5219,1071
4775,1071
4775,923
5219,4775
5219,923
3216,1115
3161,402
3639,402
5548,402
3266,402
4622,402
5548,4622
4622,3161
4622,3639
4622,3266
5548,3266
5548,3161
5548,3639
3639,3266
3639,3161
3266,3161
2641,1796
3216,1796
3270,1080
4967,2183
2183,546
2183,1965
2183,310
546,310
4967,310
1965,310
1965,546
4967,1965
4967,546
1384,1001
1001,798
2928,1001
2928,798
2928,1384
1384,798
3467,1695
4844,3467
3467,2497
3467,1806
4181,3467
3467,4
2497,1806
4181,1806
4844,1806
1806,1695
1806,4
1695,4
2497,1695
4181,1695
4844,1695
2497,4
4844,2497
4181,2497
4844,4
4844,4181
4181,4
2647,1270
2647,1865
1865,1270
4251,588
858,588
3833,588
4402,588
4402,3833
4251,3833
3833,858
4251,858
4402,4251
4402,858
354,228
741,354
3235,354
3235,228
741,228
3235,741
5295,12
4859,12
5295,4859
4067,1250
1250,907
4067,907
3942,3826
3071,1150
5219,3071
3071,1071
1150,1071
5219,1150
3744,986
1282,986
3744,1282
4237,1282
4237,3744
5438,3744
5438,1282
5063,3744
5063,1282
834,342
2089,834
2089,342
4056,1100
3216,1100
1100,196
5203,3584
1262,1248
2208,244
2779,2208
986,244
4237,244
2779,244
4237,2779
2779,986
3316,691
5596,3316
5596,691
5184,4966
4966,1442
4966,1870
1870,1442
5184,1442
5184,1870
5538,4076
5538,1205
5538,4056
5538,2641
5538,196
4076,196
1205,196
4056,1205
4076,1205
2641,1205
4076,2641
4876,4474
4474,908
4876,908
582,197
3503,582
1814,582
4876,582
2158,582
4474,582
626,582
908,582
3503,908
3503,197
3503,2158
3503,626
4876,3503
4474,3503
3503,1814
908,626
